"","gutenberg_id","text"
"408",5230,"""Certainly, sir--one minute more. I overlooked--"" and Mr. Henfrey"
"409",5230,"finished and went."
"410",5230,""
"411",5230,"But he went feeling excessively annoyed. ""Damn it!"" said Mr. Henfrey"
"412",5230,"to himself, trudging down the village through the thawing snow; ""a"
"413",5230,"man must do a clock at times, surely."""
"414",5230,""
"415",5230,"And again, ""Can't a man look at you?--Ugly!"""
"416",5230,""
"417",5230,"And yet again, ""Seemingly not. If the police was wanting you you"
"418",5230,"couldn't be more wropped and bandaged."""
"419",5230,""
"420",5230,"At Gleeson's corner he saw Hall, who had recently married the"
"421",5230,"stranger's hostess at the ""Coach and Horses,"" and who now drove"
"422",5230,"the Iping conveyance, when occasional people required it, to"
"423",5230,"Sidderbridge Junction, coming towards him on his return from that"
"424",5230,"place. Hall had evidently been ""stopping a bit"" at Sidderbridge,"
"425",5230,"to judge by his driving. ""'Ow do, Teddy?"" he said, passing."
"426",5230,""
"427",5230,"""You got a rum un up home!"" said Teddy."
"428",5230,""
"429",5230,"Hall very sociably pulled up. ""What's that?"" he asked."
"430",5230,""
"431",5230,"""Rum-looking customer stopping at the 'Coach and Horses,'"" said"
"432",5230,"Teddy. ""My sakes!"""
"433",5230,""
"434",5230,"And he proceeded to give Hall a vivid description of his grotesque"
"435",5230,"guest. ""Looks a bit like a disguise, don't it? I'd like to see a"
"436",5230,"man's face if I had him stopping in _my_ place,"" said Henfrey. ""But"
"437",5230,"women are that trustful--where strangers are concerned. He's took"
"438",5230,"your rooms and he ain't even given a name, Hall."""
"439",5230,""
"440",5230,"""You don't say so!"" said Hall, who was a man of sluggish apprehension."
"441",5230,""
"442",5230,"""Yes,"" said Teddy. ""By the week. Whatever he is, you can't get rid"
"443",5230,"of him under the week. And he's got a lot of luggage coming"
"444",5230,"to-morrow, so he says. Let's hope it won't be stones in boxes, Hall."""
"445",5230,""
"446",5230,"He told Hall how his aunt at Hastings had been swindled by a"
"447",5230,"stranger with empty portmanteaux. Altogether he left Hall vaguely"
"448",5230,"suspicious. ""Get up, old girl,"" said Hall. ""I s'pose I must see"
"449",5230,"'bout this."""
"450",5230,""
"451",5230,"Teddy trudged on his way with his mind considerably relieved."
"452",5230,""
"453",5230,"Instead of ""seeing 'bout it,"" however, Hall on his return was"
"454",5230,"severely rated by his wife on the length of time he had spent in"
"455",5230,"Sidderbridge, and his mild inquiries were answered snappishly and"
"456",5230,"in a manner not to the point. But the seed of suspicion Teddy"
"457",5230,"had sown germinated in the mind of Mr. Hall in spite of these"
"458",5230,"discouragements. ""You wim' don't know everything,"" said Mr. Hall,"
